"0000000021";3;1;"OPTIONS: ";"- Travel insurance: 20 €
- Madrid-León transfer: 480 € (1-6 people)"
"0000000021";4;1;"OUR BIKE:  ";"- Hybrid bike: 160 €
(Repair kit and transportation included)  
http://www.orbea.com/int-en/bicycles/sport-a10/
"
"0000000021";5;1;"HIGHLIGHTS";"- The friendship along the way with all pilgrims.

- The Cathedral and atmospheric streets of the city of León.

- Riding along gorgeous paths through ancient oak forests.

- Replenishing your energy with local cuisine and wine. 

- The thousand-year-old ritual of congratulating yourself on your achievement in front of the Cathedral.
"
"0000000041";0;1;"PRICE: ";"820 €
Single supplement: 210 €



"
"0000000041";1;1;"INCLUDED: 
";"Accommodation, buffet breakfast, 3 gourmet dinners, luggage transfers, transfer at the end of the tour to Laguardia or Logroño and road book with maps.
"
"0000000041";2;1;"NOT INCLUDED:";"- Lunches.
- Transportation from and to Laguardia (Alava). Ask for different options."
"0000000041";3;1;"OPTIONS: ";"- Bike hire: 75 euros.
- Travel insurance 20 euros.


"
"0000000041";4;1;"HIGHLIGHTS";"- Endless country roads winding their way through vineyards.

- Gothic and Romanesque architecture on the Camino de Santiago.

- Exploring the Rio Oja valley (especially in the fall). 

- And, of course – the vintages themselves!


"
"0000000043";1;1;"Precio por persona en habitación doble:";"780 € cubierta superior 
710 € cubierta principal
"
"0000000043";2;1;"Descuento a tercera persona (adultos) en habitación o camarote triple: 50%";""
"0000000043";3;1;"El precio incluye:";"- 7 noches alojamiento en camarote elegido en pensión completa.
- Visita a Viena.
- Transfers en Passau desde la estación de tren.
- Documentación de la ruta y mapas (inglés)
- Entrada y visita guiada de la abadía de St Florian.
- Bicicleta 21 velocidades."
"0000000043";4;1;"No incluido:";"- Traslados a y desde los puntos de salida y final de la ruta.
- Tasas de embarque: 59 euros a pagar directamente en el barco.
- Ferry en Enns (1,50€)"
"0000000043";5;1;"Opciones:";"- Seguro viaje 15 €
- Noche extra Passau.
- Bicicleta eléctrica: + 80 €.
- Camarote individual + 460 €"
"0000000045";1;1;"PRICE:";"2175 € in hotels 4* 
Single suppl.: 390 € 
"
"0000000045";2;1;"WHAT´S INCLUDED?";"- 8 night accommodation with buffet breakfast.
- 3 dinners with wine.
- Farewell dinner and flamenco show in Madrid.
- Snacks and drinks in the van.
- Maps and guidance.
- VIP tickets.
- Bike Spain jersey [Image] (http://bikespain.info/images/d_roadcycling/maillotBST.jpg)"
"0000000045";3;1;"NOT INCLUDED:";"- Lunches and some dinners."
"0000000045";4;1;"VIP Travel includes:
";"- Ride by bike across the finish line on the D-day stage (under logistic conditions)
- Access to the stage podium for a photo shoot on the D-day stage of each participant.
- Access to the departure village for 3 stages. 
- Access to VIP buses bus for 3 stages (Excluding the first and last stage) 
- Official Road book for each participant"
"0000000045";5;1;"OUR BIKES: ";" - Road Aluminium: 150 €  
Specialized SECTEUR 
(http://www.specialized.com/us/en/bikes/road/secteur/secteursportcompact)
- Road Carbon: 210 € 
Specialized ROUBAIX 
(http://www.specialized.com/us/en/bikes/road/roubaix/roubaixsportcompact)"
"0000000045";6;1;"OPTIONS:
";"- Extra nights: Ask for price.


"
"0000000045";7;1;"SUPPORTED TOUR
MINIMUM GROUP 6 PERSONS ";""
"0000000046";0;1;"PRECIO ";"2 adultos + 2 niños: 1796 €
2 adultos + 1 niño: 1497 €
1 adulto + 1 niño: 898 €
1 adulto + 2 niños: 1362 €
(Niños hasta 11 años)

Pasajeros adicionales:
Niños hasta 11 años: 449 €
Pasajero 12+ años: 584 €"
"0000000046";1;1;"EL PRECIO INCLUYE: 
";"- Alojamiento en camarote (varios tamaños). Duchas y aseos a compartir.
- Pensión completa.
- Bicicleta.
- Visita al Castillo de Loevestein.
- Golf ""holandés"".
- Asistencia día de salida por nuestro representante Español en Julio y Agosto.
- Mapas y libro de ruta.
"
"0000000046";2;1;"NO INCLUIDO: ";"- Transporte a los puntos de salida.
- Vuelos y noches extra. 
- Bebidas a bordo (buen precio).
"
"0000000046";3;1;"OPCIONES:";"- Suplemento indiv.: 148 € 
- Seguro viaje 15 €.
- Alojamiento en Amsterdam.
- Seguro bicicleta: 15 euros. 



"
"0000000046";4;1;"INTERESANTE:";"- Linea de 19 molinos de Kinderdijk.

- Pequeños pueblos con encanto.

- Jugar al golf con palos de zuecos.

- Entorno rural y muy familiar.

- Parque de aves Avifaunia.

- Paseos en ciudades y pueblos.
"
"0000000047";0;1;"PRECIO Cat. Comfort";"829 € en camarote doble."
"0000000047";1;1;"EL PRECIO INCLUYE:";"- Alojamiento en pensión completa en camarote doble.
- Visitas a ciudades.
- Guía en inglés.
- Bicicleta.
- Mapas y libro de ruta.
- Tren Gante – Brujas – Gente.
- Bus de Amsterdam-Brujas"
"0000000047";2;1;"NO INCLUIDO:";"- Transporte a los puntos de salida.
- Bebidas a bordo (muy económicas) 
- Vuelos y noches extra. 
http://www.traveltool.es/agencias/entradaIdentificada.aspx?codigoAgencia=767"
"0000000047";3;1;"OPCIONES:";"- Suplemento indiv. 148 €
- Seguro viaje 15 €.
- Seguro bicicleta 15 €."
"0000000047";4;1;"INTERESANTE";" Paseo en bicicleta por la isla de Tholen.

- Visita a la fábrica de cerveza ""De Koninck"".

- Cruzar el Rín en barco.

- Visite dos ciudades bonitas en un viaje inolvidable."
"0000000048";0;1;"PRECIO: ";"810 € en habitación doble 
- Niños 0-3 en triple -60%
- Niños 4-11 en triple -33%
"
"0000000048";1;1;"EL PRECIO INCLUYE: 
";"- Alojamiento en habitación doble. Desayunos y cenas.
- Bicicleta.
- Traslado de equipaje (1 maleta por persona)
- Mapas y libro de ruta en inglés."
"0000000048";2;1;"NO INCLUIDO: 
";"- Transporte a los puntos de salida.
- Vuelos y noches extra.
- Ferry Enkhuizen-Stavoren aprox. Euro 18,00"
"0000000048";3;1;"OPCIONES:";"- Suplemento indiv.: 256
- Seguro viaje 15 €.
- Estancias en Amsterdam.
- Parking en Amsterdam.
- Seguro bicicleta: 15 €"
"0000000048";4;1;"INTERESANTE:";"- Visita al museo del antiguo pueblo de pescadores. 

- Paseos en ciudades y pueblos.

- Giethoorn, “la Venecia del Norte”

- Conocer las diferentes caras de Holanda

"
"0000000052";0;1;"PRECIO Cat. Standard:";"689 € en camarote doble."
"0000000052";1;1;"EL PRECIO INCLUYE:";"- Alojamiento en pensión completa en camarote doble.
- Visita a fábrica de cerveza.
- Visitas a ciudades.
- Guía en inglés.
- Bicicleta.
- Mapas y libro de ruta.
- Tren Malinas-Bruselas.
"
"0000000052";2;1;"NO INCLUIDO:";"- Transporte a los puntos de salida.
- Vuelos y noches extra. 
http://www.traveltool.es/agencias/entradaIdentificada.aspx?codigoAgencia=767
- bebidas a bordo."
"0000000052";3;1;"OPCIONES:";"- Suplemento indiv. 148 €
- Seguro viaje: 15 €.
- Seguro bicicleta: 15 €"
"0000000052";4;1;"INTERESANTE: ";"- Paseo en bicicleta por la isla de Tholen.

- Visita a la fábrica de cerveza ""De Koninck"".

- Cruzar el Rín en barco.

- Visite dos ciudades bonitas en un viaje inolvidable. 
"
"0000000053";0;1;"PRECIO:";"- Adultos 925 €
- Niños 510 € (5-10 años)
Suplemento Indiv.: 160 €"
